Child Commit Recent Date,Parent,Total Deleted Testfile,Deleted Testfile,Total Redundant Tests,Redundant Tests,Total Deleted Tests,Deleted Tests
2002-09-12 17:01:25,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/5cab6528eae28321fcd7bea44e83bd46e91fac63"", ""5cab6528eae28321fcd7bea44e83bd46e91fac63"")",1,['src/test/org/apache/commons/lang/HashCodeBuilderTest.java'],20,"['testConstructorEx1', 'testConstructorEx2', 'testObject', 'testLong', 'testInt', 'testShort', 'testChar', 'testByte', 'testDouble', 'testFloat', 'testBoolean', 'testObjectArray', 'testLongArray', 'testIntArray', 'testShortArray', 'testCharArray', 'testByteArray', 'testDoubleArray', 'testFloatArray', 'testBooleanArray']",20,"['testConstructorEx1', 'testConstructorEx2', 'testObject', 'testLong', 'testInt', 'testShort', 'testChar', 'testByte', 'testDouble', 'testFloat', 'testBoolean', 'testObjectArray', 'testLongArray', 'testIntArray', 'testShortArray', 'testCharArray', 'testByteArray', 'testDoubleArray', 'testFloatArray', 'testBooleanArray']"
2002-11-06 13:09:00,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/8ebe30ba3091b05ae28f70ba235c558e9a1b4235"", ""8ebe30ba3091b05ae28f70ba235c558e9a1b4235"")",1,['src/test/org/apache/commons/lang/functor/TestClosureUtils.java'],0,[],26,"['testExceptionClosure', 'testNopClosure', 'testInvokeClosure', 'testForClosure', 'testWhileClosure', 'testDoWhileClosure', 'testChainedClosure', 'testChainedClosureEx1a', 'testChainedClosureEx1b', 'testChainedClosureEx1c', 'testChainedClosureEx2', 'testChainedClosureEx3', 'testChainedClosureEx4', 'testChainedClosureEx5', 'testSwitchClosure', 'testSwitchClosureEx1a', 'testSwitchClosureEx1b', 'testSwitchClosureEx1c', 'testSwitchClosureEx2', 'testSwitchClosureEx3', 'testSwitchClosureEx4', 'testSwitchClosureEx5', 'testSwitchClosureEx6', 'testSwitchMapClosure', 'testSwitchMapClosureEx1', 'testSwitchMapClosureEx2']"
2003-05-16 17:17:35,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/e329c3556ce0b4a87568f3783adc193719670560"", ""e329c3556ce0b4a87568f3783adc193719670560"")",4,"['src/test/org/apache/commons/lang/functor/TestExecutorUtils.java', 'src/test/org/apache/commons/lang/functor/TestTransformerUtils.java', 'src/test/org/apache/commons/lang/functor/TestPredicateUtils.java', 'src/test/org/apache/commons/lang/functor/TestFactoryUtils.java']",0,[],140,"['testExceptionExecutor', 'testNopExecutor', 'testInvokeExecutor', 'testForExecutor', 'testWhileExecutor', 'testDoWhileExecutor', 'testChainedExecutor', 'testChainedExecutorEx1a', 'testChainedExecutorEx1b', 'testChainedExecutorEx1c', 'testChainedExecutorEx2', 'testChainedExecutorEx3', 'testChainedExecutorEx4', 'testChainedExecutorEx5', 'testSwitchExecutor', 'testSwitchExecutorEx1a', 'testSwitchExecutorEx1b', 'testSwitchExecutorEx1c', 'testSwitchExecutorEx2', 'testSwitchExecutorEx3', 'testSwitchExecutorEx4', 'testSwitchExecutorEx5', 'testSwitchExecutorEx6', 'testSwitchMapExecutor', 'testSwitchMapExecutorEx1', 'testSwitchMapExecutorEx2', 'testExceptionFactory', 'testNullFactory', 'testConstantFactoryNull', 'testConstantFactoryConstant', 'testPrototypeFactoryNull', 'testPrototypeFactoryPublicCloneMethod', 'testPrototypeFactoryPublicCopyConstructor', 'testPrototypeFactoryPublicSerialization', 'testPrototypeFactoryPublicSerializationError', 'testPrototypeFactoryPublicBad', 'testReflectionFactoryNull', 'testReflectionFactorySimple', 'testReflectionFactoryMismatch', 'testReflectionFactoryNoConstructor', 'testReflectionFactoryComplex', 'testExceptionPredicate', 'testNullPredicate', 'testIsNotNullPredicate', 'testEqualPredicate', 'testIdentityPredicate', 'testTruePredicate', 'testFalsePredicate', 'testNotPredicate', 'testNotPredicateEx', 'testAndPredicate', 'testAndPredicateEx', 'testAllPredicate', 'testAllPredicateEx1', 'testAllPredicateEx2', 'testAllPredicateEx3', 'testAllPredicateEx4', 'testAllPredicateEx5', 'testAllPredicateEx6', 'testOrPredicate', 'testOrPredicateEx', 'testAnyPredicate', 'testAnyPredicateEx1', 'testAnyPredicateEx2', 'testAnyPredicateEx3', 'testAnyPredicateEx4', 'testAnyPredicateEx5', 'testAnyPredicateEx6', 'testEitherPredicate', 'testEitherPredicateEx', 'testOnePredicate', 'testOnePredicateEx1', 'testOnePredicateEx2', 'testOnePredicateEx3', 'testOnePredicateEx4', 'testOnePredicateEx5', 'testOnePredicateEx6', 'testNeitherPredicate', 'testNeitherPredicateEx', 'testNonePredicate', 'testNonePredicateEx1', 'testNonePredicateEx2', 'testNonePredicateEx3', 'testNonePredicateEx4', 'testNonePredicateEx5', 'testNonePredicateEx6', 'testInstanceOfPredicate', 'testUniquePredicate', 'testAsPredicateTransformer', 'testAsPredicateTransformerEx1', 'testAsPredicateTransformerEx2', 'testInvokerPredicate', 'testInvokerPredicateEx1', 'testInvokerPredicateEx2', 'testInvokerPredicateEx3', 'testInvokerPredicate2', 'testInvokerPredicate2Ex1', 'testInvokerPredicate2Ex2', 'testInvokerPredicate2Ex3', 'testNullIsExceptionPredicate', 'testNullIsExceptionPredicateEx1', 'testNullIsTruePredicate', 'testNullIsTruePredicateEx1', 'testNullIsFalsePredicate', 'testNullIsFalsePredicateEx1', 'testExceptionTransformer', 'testNullTransformer', 'testNopTransformer', 'testConstantTransformer', 'testCloneTransformer', 'testMapTransformer', 'testExecutorTransformer', 'testPredicateTransformer', 'testFactoryTransformer', 'testChainedTransformer', 'testChainedTransformerEx1a', 'testChainedTransformerEx1b', 'testChainedTransformerEx1c', 'testChainedTransformerEx2', 'testChainedTransformerEx3', 'testChainedTransformerEx4', 'testChainedTransformerEx5', 'testSwitchTransformer', 'testSwitchTransformerEx1a', 'testSwitchTransformerEx1b', 'testSwitchTransformerEx1c', 'testSwitchTransformerEx2', 'testSwitchTransformerEx3', 'testSwitchTransformerEx4', 'testSwitchTransformerEx5', 'testSwitchTransformerEx6', 'testSwitchMapTransformer', 'testSwitchMapTransformerEx1', 'testSwitchMapTransformerEx2', 'testInvokerTransformer', 'testInvokerTransformerEx1', 'testInvokerTransformerEx3', 'testInvokerTransformer2', 'testInvokerTransformer2Ex1', 'testInvokerTransformer2Ex3']"
2003-08-17 16:57:37,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/b75b09afe0be9fd009b1290b5ce75dcf1144b226"", ""b75b09afe0be9fd009b1290b5ce75dcf1144b226"")",1,['src/test/org/apache/commons/lang/WordWrapUtilsTest.java'],0,[],4,"['testWrapText1', 'testWrapText2', 'testWrapText3', 'testWrapText4']"
2004-03-04 15:00:02,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/5e7cf0ed0e5a457e6e180e83ffbafa0b582e2759"", ""5e7cf0ed0e5a457e6e180e83ffbafa0b582e2759"")",1,['src/test/org/apache/commons/lang/util/IdentifierUtilsTest.java'],1,['testConstructor'],16,"['testConstructor', 'testLongIncrementing', 'testLongIncrementingNoArgs', 'testLongIncrementingInit', 'testLongIncrementingWrap', 'testLongIncrementingNoWrap', 'testStringNumericLong', 'testStringNumericNoArgs', 'testStringNumericInit', 'testStringNumericWrap', 'testStringNumericNoWrap', 'testStringAlphanumeric', 'testLongAlphanumericNoArgs', 'testStringAlphanumericWrap', 'testStringAlphanumericNoWrap', 'testStringSession']"
2004-07-07 18:50:28,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/43eba0aec4b19ac87e360dbc5d51af5bc15df4ea"", ""43eba0aec4b19ac87e360dbc5d51af5bc15df4ea"")",1,['src/test/org/apache/commons/lang/mutable/MutableNumberTest.java'],1,['testSetValue'],1,['testSetValue']
2005-07-23 16:56:59,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/7952a5525444ab03243a9f80375050caf2419770"", ""7952a5525444ab03243a9f80375050caf2419770"")",1,['src/test/org/apache/commons/lang/text/InterpolationTest.java'],5,"['testSimpleVariableSubstitution', 'testNullMap', 'testEmptyMap', 'testNullTemplate', 'testRecursive']",5,"['testSimpleVariableSubstitution', 'testNullMap', 'testEmptyMap', 'testNullTemplate', 'testRecursive']"
2006-08-08 18:35:31,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/db951873904b927b43f35478586f064ea6ea6deb"", ""db951873904b927b43f35478586f064ea6ea6deb"")",1,['src/test/org/apache/commons/lang/text/VariableFormatterTest.java'],7,"['testNullMap', 'testReplaceEmptyKeys', 'testReplaceNoEscape', 'testReplaceNoMarkers', 'testReplaceNoPrefix', 'testReplaceNoSuffix', 'testReplaceWeirdPattens']",18,"['testCyclicReplacement', 'testEscape', 'testInitialize', 'testNonDefaultTokens', 'testNonInstanceMethods', 'testNullMap', 'testRecursiveReplacement', 'testReplace', 'testReplaceEmptyKeys', 'testReplaceNoEscape', 'testReplaceNoMarkers', 'testReplaceNoPrefix', 'testReplaceNoSuffix', 'testReplaceNothing', 'testReplaceObject', 'testReplaceSystemProperties', 'testReplaceWeirdPattens', 'testReplaceCharArray']"
2008-02-25 13:49:21,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/68c6547d0cc71c538a52b81f0ef3af69b9d80085"", ""68c6547d0cc71c538a52b81f0ef3af69b9d80085"")",1,['src/test/org/apache/commons/lang/text/MultiFormatTest.java'],0,[],6,"['testFormatNumber', 'testParseNumber', 'testFormatDate', 'testParseDate', 'testFormatObject', 'testParseGarbage']"
2008-02-27 11:12:38,"=HYPERLINK(""https://github.com/apache/commons-lang/commit/7f5ffc6036d4b2199af5b2d655691bc0af4478ee"", ""7f5ffc6036d4b2199af5b2d655691bc0af4478ee"")",2,"['src/test/org/apache/commons/lang/text/AbstractMessageFormatTest.java', 'src/test/org/apache/commons/lang/text/MessageFormatExtensionTest.java']",30,"['testNoFormatElements', 'testSimpleStrings', 'testSimpleNumbers', 'testSimpleDates', 'testNumber', 'testNumberLooseFormatting', 'testInteger', 'testIntegerLooseFormatting', 'testCurrency', 'testPercent', 'testNumberPattern', 'testDate', 'testDateLooseFormatting', 'testShortDate', 'testShortDateLooseFormatting', 'testMediumDate', 'testLongDate', 'testFullDate', 'testDatePattern', 'testTime', 'testShortTime', 'testMediumTime', 'testLongTime', 'testFullTime', 'testTimePattern', 'testChoice', 'testChoiceLooseFormatting', 'testChoiceRecursive', 'testProperName', 'testMixed']",30,"['testNoFormatElements', 'testSimpleStrings', 'testSimpleNumbers', 'testSimpleDates', 'testNumber', 'testNumberLooseFormatting', 'testInteger', 'testIntegerLooseFormatting', 'testCurrency', 'testPercent', 'testNumberPattern', 'testDate', 'testDateLooseFormatting', 'testShortDate', 'testShortDateLooseFormatting', 'testMediumDate', 'testLongDate', 'testFullDate', 'testDatePattern', 'testTime', 'testShortTime', 'testMediumTime', 'testLongTime', 'testFullTime', 'testTimePattern', 'testChoice', 'testChoiceLooseFormatting', 'testChoiceRecursive', 'testProperName', 'testMixed']"
